Venue,Matches,Classification,Pace_Avg,Spin_Avg,Pace_Econ,Spin_Econ,Pace_SR,Spin_SR
Pallekele International Cricket Stadium,26,Neutral,26.82,23.16,8.49,7.67,18.95,18.13
"R Premadasa Stadium, Colombo",14,Spin Friendly,24.56,20.29,7.83,6.37,18.83,19.11
R Premadasa Stadium,13,Spin Friendly,22.43,17.62,7.58,6.61,17.76,16.0
Dubai International Cricket Stadium,10,Neutral,26.84,25.17,8.72,7.43,18.47,20.33
Rangiri Dambulla International Stadium,8,Neutral,18.54,20.07,8.28,7.05,13.44,17.09
"R.Premadasa Stadium, Khettarama",7,Spin Friendly,29.34,18.88,9.28,7.17,18.98,15.8
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",6,Spin Friendly,20.2,16.52,6.97,6.25,17.39,15.85
Zahur Ahmed Chowdhury Stadium,6,Spin Friendly,20.1,15.44,7.52,6.42,16.04,14.44
Shere Bangla National Stadium,6,Pace Friendly,19.96,27.95,6.81,6.61,17.58,25.36
Melbourne Cricket Ground,5,Pace Friendly,27.54,34.8,7.98,6.88,20.71,30.33
"Zayed Cricket Stadium, Abu Dhabi",5,Spin Friendly,23.98,17.86,7.69,6.14,18.71,17.45
Rawalpindi Cricket Stadium,5,Spin Friendly,26.1,20.52,7.67,6.51,20.42,18.9
New Wanderers Stadium,5,Neutral,20.73,20.48,7.44,7.38,16.71,16.65
Gaddafi Stadium,4,Pace Friendly,18.15,28.94,7.4,7.36,14.72,23.59
Sylhet International Cricket Stadium,4,Neutral,28.15,29.38,8.73,8.16,19.35,21.62
Sydney Cricket Ground,4,Neutral,18.62,18.35,7.26,6.75,15.4,16.3
Sharjah Cricket Stadium,4,Spin Friendly,24.5,15.32,7.95,6.49,18.5,14.16
Sheikh Zayed Stadium,3,Pace Friendly,15.1,18.93,6.63,5.66,13.67,20.07
Newlands,3,Spin Friendly,24.79,19.6,7.53,6.32,19.75,18.6
Eden Park,3,Neutral,20.77,19.9,7.9,7.33,15.77,16.3
"Coolidge Cricket Ground, Antigua",3,Spin Friendly,24.79,10.89,7.64,5.05,19.47,12.95
"GMHBA Stadium, South Geelong, Victoria",3,Spin Friendly,19.23,12.67,7.33,5.96,15.73,12.75
Harare Sports Club,3,Neutral,22.65,25.92,8.58,6.99,15.85,22.25
Trent Bridge,3,Spin Friendly,29.19,20.18,8.8,6.6,19.9,18.35
Lord's,3,Pace Friendly,18.63,23.08,6.84,6.57,16.33,21.08
